politician/institution,date,answer,pct_estimate,lo,hi
Supreme Court,2023-12-15,Approve,37.399437662828625,32.38063784749358,42.41823747816367
Supreme Court,2023-12-15,Disapprove,54.538943521425445,48.82689331172103,60.25099373112986
Supreme Court,2023-12-14,Approve,37.39943766282862,32.380637847493574,42.41823747816366
Supreme Court,2023-12-14,Disapprove,54.53894352142545,48.82689331172104,60.25099373112987
Supreme Court,2023-12-13,Approve,37.40064991848871,32.38183454335813,42.41946529361929
Supreme Court,2023-12-13,Disapprove,54.53860612064308,48.82653436015796,60.250677881128205
Supreme Court,2023-12-12,Approve,37.40068015934284,32.381863141524335,42.41949717716135
Supreme Court,2023-12-12,Disapprove,54.53859742058526,48.82652419710852,60.250670644062005
Supreme Court,2023-12-11,Approve,38.03789553753827,33.01774106509086,43.05805000998568
Supreme Court,2023-12-11,Disapprove,53.70018587236932,48.03920748483435,59.361164259904285
Supreme Court,2023-12-10,Approve,38.03789553753827,33.01774106509086,43.05805000998568
Supreme Court,2023-12-10,Disapprove,53.70018587236932,48.03920748483435,59.361164259904285
Supreme Court,2023-12-09,Approve,38.037895537538276,33.01774106509086,43.05805000998569
Supreme Court,2023-12-09,Disapprove,53.70018587236932,48.03920748483435,59.361164259904285
Supreme Court,2023-12-08,Approve,38.037895537538276,33.01774106509086,43.05805000998569
Supreme Court,2023-12-08,Disapprove,53.70018587236932,48.03920748483435,59.361164259904285
Supreme Court,2023-12-07,Approve,38.037895537538276,33.01774106509086,43.05805000998569
Supreme Court,2023-12-07,Disapprove,53.70018587236932,48.03920748483435,59.361164259904285
Supreme Court,2023-12-06,Approve,38.041958334522484,33.02179578509568,43.06212088394929
Supreme Court,2023-12-06,Disapprove,53.699037690419075,48.03805175220912,59.36002362862903
Supreme Court,2023-12-05,Approve,38.04196601791974,33.021802943267616,43.062129092571865
Supreme Court,2023-12-05,Disapprove,53.699037975616235,48.03805206818684,59.36002388304563
Supreme Court,2023-12-04,Approve,38.79825121619304,33.78488936595141,43.81161306643467
Supreme Court,2023-12-04,Disapprove,53.493892210548935,47.89204670225155,59.09573771884632
Supreme Court,2023-12-03,Approve,38.798251216193044,33.784889365951415,43.811613066434674
Supreme Court,2023-12-03,Disapprove,53.49305074164285,47.89120523334546,59.094896249940234
Supreme Court,2023-12-02,Approve,38.79825121619304,33.78488936595141,43.81161306643467
Supreme Court,2023-12-02,Disapprove,53.49210388554421,47.89025837724682,59.0939493938416
Supreme Court,2023-12-01,Approve,38.79825121619304,33.78488936595141,43.81161306643467
Supreme Court,2023-12-01,Disapprove,53.49115682988173,47.889311321584344,59.09300233817912
